date,Tic,open,high ,low,close,volume 
9/30/2007,Fameli,21.39,21.5,21.07,21.26,1425925
10/1/2007,Fameli,21.07,21.5,21,21.3,7164199
10/2/2007,Fameli,21.72,21.72,21.41,21.7,5159046
10/6/2007,Fameli,22.12,22.14,21.95,22.13,2858322
10/7/2007,Fameli,22.58,22.58,22.43,22.57,4270906
10/8/2007,Fameli,23.02,23.02,22.43,22.93,7900502
10/9/2007,Fameli,22.93,23.11,22.47,22.68,2548628
10/10/2007,Fameli,22.9,23.13,22.82,23.09,5788900
10/14/2007,Fameli,23.24,23.5,22.67,23.07,2253789
10/15/2007,Fameli,22.7,22.95,22.61,22.95,581503
10/16/2007,Fameli,22.87,23,22.5,22.69,4452505
10/17/2007,Fameli,22.62,22.84,22.25,22.55,2516996
10/20/2007,Fameli,22.55,22.7,22.1,22.18,2388259
10/21/2007,Fameli,21.73,22.5,21.73,21.83,4862053
10/22/2007,Fameli,22.26,22.26,21.62,21.91,1747243
10/23/2007,Fameli,21.92,22,21.47,21.59,1956979
10/24/2007,Fameli,21.98,21.99,21.38,21.64,2546917
10/27/2007,Fameli,21.51,21.64,21.21,21.25,2656670
10/28/2007,Fameli,21.11,21.94,20.83,21.05,1159104552
10/29/2007,Fameli,20.63,21.17,20.63,20.67,6143965
10/30/2007,Fameli,20.6,21.08,20.35,20.89,2691694
10/31/2007,Fameli,21.24,21.25,20.47,20.7,2287460
11/3/2007,Fameli,20.29,20.52,20.29,20.52,1026263
11/4/2007,Fameli,20.11,20.17,20.11,20.17,2003942
11/5/2007,Fameli,19.76,20.15,19.76,20.15,79754
11/7/2007,Fameli,19.75,20.14,19.75,20.14,64882
11/10/2007,Fameli,19.74,20.13,19.74,20.13,55326
11/11/2007,Fameli,19.73,20.12,19.73,20.12,47780
11/12/2007,Fameli,19.72,20.11,19.72,20.11,50475
11/13/2007,Fameli,19.71,20.1,19.71,20.1,57319
11/26/2007,Fameli,19.7,20.1,19.7,20.1,564
11/27/2007,Fameli,19.7,20.1,19.7,20.1,1020
11/28/2007,Fameli,19.7,20.1,19.7,20.1,536
12/1/2007,Fameli,19.7,20.1,19.7,20.1,70
12/2/2007,Fameli,19.7,19.7,19.7,19.7,182
12/3/2007,Fameli,19.31,19.31,19.31,19.31,79000
12/5/2007,Fameli,18.93,18.93,18.93,18.93,1172452
12/8/2007,Fameli,18.55,18.93,18.55,18.93,6899
12/9/2007,Fameli,18.55,18.91,18.55,18.91,91220
12/10/2007,Fameli,18.53,18.69,18.53,18.69,1329590
12/11/2007,Fameli,18.32,18.69,18.32,18.69,2264
12/15/2007,Fameli,18.32,18.69,18.32,18.69,310
12/16/2007,Fameli,18.32,18.69,18.32,18.69,11799
12/18/2007,Fameli,18.32,18.69,18.32,18.69,558
12/22/2007,Fameli,18.32,18.69,18.32,18.69,840
12/23/2007,Fameli,18.32,18.65,18.32,18.65,250010
12/25/2007,Fameli,18.28,18.28,18.28,18.28,1520
12/26/2007,Fameli,17.91,17.91,17.91,17.91,1354
12/30/2007,Fameli,17.56,17.91,17.56,17.56,17103153
12/31/2007,Fameli,17.31,17.5,17.21,17.23,8218313
1/1/2008,Fameli,17.19,17.38,17.08,17.23,1337029
1/2/2008,Fameli,17.2,17.57,17,17.46,1811074
1/5/2008,Fameli,17.8,17.8,17.47,17.68,1969849
1/6/2008,Fameli,17.33,17.57,17.33,17.33,2833862
1/8/2008,Fameli,17.13,17.6,17.13,17.37,965715
1/9/2008,Fameli,17.72,17.72,17.42,17.42,299670
1/12/2008,Fameli,17.77,17.77,17.42,17.42,25429
1/28/2008,Fameli,19,21.25,18.28,18.87,15129662
1/29/2008,Fameli,18.87,18.87,18.5,18.5,3496832
1/30/2008,Fameli,18.5,18.8,7.33,18.48,2086161
2/2/2008,Fameli,18.85,18.85,18.23,18.61,1911029
2/3/2008,Fameli,18.24,18.24,18.24,18.24,2533389
2/4/2008,Fameli,18.2,18.25,17.89,18.04,2133854
2/5/2008,Fameli,18.05,18.32,17.96,18.04,592237
2/6/2008,Fameli,18.04,18.22,17.68,17.96,925049
2/9/2008,Fameli,18.32,18.32,18.01,18.14,1399052
2/10/2008,Fameli,18.1,18.13,17.79,18.12,332007
2/12/2008,Fameli,18.25,18.37,17.88,18.11,397370
2/13/2008,Fameli,18.11,18.47,18.09,18.14,443096
2/16/2008,Fameli,18.16,18.25,17.93,18.12,347821
2/17/2008,Fameli,18,18.05,17.76,18.05,490122
2/18/2008,Fameli,17.72,17.98,17.69,17.81,1578181
2/19/2008,Fameli,18.16,18.16,18.06,18.06,1624300
2/26/2008,Fameli,17.5,18.1,17.5,17.88,1894360
2/27/2008,Fameli,17.75,18,17.52,17.56,2257018
3/1/2008,Fameli,17.52,17.73,17.4,17.53,1106120
3/2/2008,Fameli,17.46,17.53,17.25,17.51,737858
3/3/2008,Fameli,17.51,17.86,17.43,17.68,1258684
3/4/2008,Fameli,17.98,18.03,17.7,17.86,1243841
3/5/2008,Fameli,18.22,18.22,18.02,18.2,2758655
3/9/2008,Fameli,18.56,18.56,18.31,18.31,821472
3/10/2008,Fameli,18.49,18.51,17.95,18.25,1731669
3/11/2008,Fameli,17.89,18.16,17.89,18.16,1705570
3/12/2008,Fameli,18.16,18.24,17.98,18.14,12937452
3/15/2008,Fameli,18.14,18.14,17.96,18.11,448429
3/16/2008,Fameli,18.11,18.15,18.01,18.11,762077
3/17/2008,Fameli,18.13,18.47,18.13,18.19,580772
3/18/2008,Fameli,18.55,18.55,18.25,18.25,394139
3/24/2008,Fameli,18.61,18.62,18.01,18.26,280487
3/26/2008,Fameli,18.04,18.5,17.99,18.25,226963
3/29/2008,Fameli,18.58,18.62,18.34,18.34,555212
3/30/2008,Fameli,18.69,18.7,18.5,18.5,2575386
4/2/2008,Fameli,18.87,18.87,18.65,18.65,913178
4/5/2008,Fameli,19.02,19.02,18.71,18.71,369522
4/6/2008,Fameli,19.08,19.08,18.73,18.73,163389
4/7/2008,Fameli,19.11,19.11,18.74,18.74,63256
4/8/2008,Fameli,19.12,19.12,18.94,18.94,1221548
4/9/2008,Fameli,19.32,19.32,18.95,19.3,9340421
4/12/2008,Fameli,19.13,19.32,18.91,19.21,596590
4/13/2008,Fameli,18.83,19.18,18.83,19.18,151033
4/14/2008,Fameli,18.8,19.22,18.8,19,1265368
4/15/2008,Fameli,19.22,19.38,19.06,19.06,480596
4/16/2008,Fameli,19.25,19.3,18.8,19.06,245630
4/19/2008,Fameli,19.2,19.2,18.71,19.03,285033
4/20/2008,Fameli,18.75,18.99,18.7,18.99,323367
4/21/2008,Fameli,18.74,18.9,18.61,18.9,558139
